ja,,,,,,,
Conversation ID,Entry ID,Actor,Original Text,Translated Text [ja],Original Menu,Translated Menu [ja],Description
2,27,Vargr,주인님 앞이다. 흉한 꼴 보이지 마라.,主様の前だ。みっともない姿を見せるな。主様の品格が疑われる。,,,
2,28,Player,#NAME?,‐ワーグが割り込むと、一気に静かになった。,,,
2,29,Player,#NAME?,‐流石はエンプレシスハウンドのリーダーだな。,,,
2,30,Fafnir,"뭐야, 이 꼬맹이는?",何？このチビ？,,,
2,31,Player,#NAME?,‐一瞬、緊張が走った。,,,
2,32,Player,#NAME?,‐ーーが、ワーグはすぐに穏やかに口を開く。,,,
2,33,Vargr,엠프레시스 하운드의 대장 바르그다.,エンプレシスハウンドのリーダー、ワーグだ。,,,
2,34,Fafnir,뭐? 엠프레시스 하운드에 대장이 있다고? 그리고 그 대장이 너라고? 웃기시네.,"はぁ？エンプレシスハウンドにリーダーがいたの？しかもそれがお前？
面白いこと言うわね。",,,
2,35,Player,#NAME?,"‐ワーグのそばにいたチョナは人差し指を立てた。
どういう意味だ？",,,
2,36,Fafnir,너 같은 꼬맹이보다는 내가 더 대장에 어울리지 않아?,あんたみたいなチビっ子じゃなくて、私の方がリーダーに相応しくない？,,,
2,37,Vargr,내 부덕함의 소치다. 정진하도록 하마.,私の不徳の致すところです。精進いたします、主様。,,,
2,39,Player,#NAME?,"‐チョナが人差し指に続いて中指を立てた。
どうやら……何かをカウントしている？",,,
2,40,Fafnir,"너는 기껏해야 이 성격 더러운 애들이나 이끌지만 나는 훨씬 많은 부하에 보물이랑, 용의 둥지도 가지고 있다고.","お前はまぁせいぜいそこの性格がおわってる猟犬たちのリーダーだけど、
私は遥かにたくさんの部下を率いるリーダー！しかもお宝も龍の巣も持ってるわ！",,,
2,41,Vargr,그건 칭찬하마. 인류가 멸망한 후에도 너 역시도 열심히 살았다는 증거일테니.,"それは素直に称賛しよう。
人類が滅亡した後もお前が懸命に生きてきたという証なのだろうから。",,,
2,42,Player,- 천아가 약지도 펼쳤다. 적어도 바르그의 옐로카드는 3장보다는 많다는 의미겠지.,‐チョナが薬指も立てた。なるほど、これはワーグの地雷を踏んだ数か……,,,
2,43,Fafnir,여제 아줌-,女帝ババアー,,,
2,44,Vargr,죽여버리겠다배은망덕한년.,殺す！！！！！！！,,,
2,45,Player,#NAME?,"""‐チョナが楽しそうに両手を広げた。
たしかにもうカウントする必要がないレベルの地雷を踏み抜いたな……""",,,
2,46,Not Assigned,,,,,
